COICOP Class level item,Energy Intensity,Energy Intensity Group,COICOP Number,CDID_val,CDID_wgt
04.5.1 : ELECTRICITY ,57.20%,Energy,04.5.1 ,D7I7,CJXA
04.5.2 : GAS ,58.20%,Energy,04.5.2 ,D7I8,CJXB
04.5.3 : LIQUID FUELS ,69.00%,Energy,04.5.3 ,D7I9,CJXC
07.2.2 : FUELS & LUBRICANTS ,68.00%,Energy,07.2.2 ,D7IO,CJXR
01.1.1 : BREAD & CEREALS ,2.00%,High,01.1.1 ,D7HH,CJWB
01.1.2 : MEAT ,1.90%,High,01.1.2 ,D7HI ,CJWC
01.1.3 : FISH ,2.30%,High,01.1.3 ,D7HJ,CJWD
"01.1.4 : MILK, CHEESE & EGGS ",1.80%,High,01.1.4 ,D7HK,CJWE
01.1.5 : OILS & FATS ,2.10%,High,01.1.5 ,D7HL,CJWF
"01.1.8 : SUGAR, JAM, HONEY, SYRUPS, CHOCOLATE & CONFECTIONERY ",1.60%,High,01.1.8 ,D7HO,CJWI
01.1.9 : FOOD PRODUCTS ,2.10%,High,01.1.9 ,D7HP,CJWJ
"01.2.1 : COFFEE, TEA, COCOA ",1.60%,High,01.2.1 , D7HQ,CJWK
04.3.2 : SERVICES FOR THE REGULAR REPAIR OF DWELLING ,1.50%,High,04.3.2 ,D7I2,CJWV
04.5.4 : SOLID FUELS ,1.90%,High,04.5.4 ,D7IA,CJXD
05.3.3 : REPAIR OF HOUSEHOLD APPLIANCES ,1.90%,High,05.3.3 ,D7IG,CJXJ
"05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS ",2.50%,High,5.4,D7GX,CJVJ
05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN ,1.60%,High,5.5,D7GY,CJVK
05.6.1 : NON-DURABLE HOUSEHOLD GOODS ,1.80%,High,05.6.1 ,D7IH,CJXK
07.2.1 : SPARE PARTS & ACCESSORIES ,2.00%,High,07.2.1 ,D7IN,CJXQ
07.2.3 : MAINTENANCE & REPAIRS ,2.20%,High,07.2.3 ,D7IP,CJXS
07.2.4 : OTHER SERVICES FOR PERSONAL TRANSPORT EQUIPMENT ,1.50%,High,07.2.4 ,D7IQ,CJXT
08.1 : POSTAL SERVICES ,2.40%,High,8.1,D7H5,CJVP
"09.1.5 :REPAIR OF AUDIO-VISUAL,PHOTO. & DATA PROCESSING EQUIP.",1.90%,High,09.1.5 ,D7J5,CJYG
09.3.4 : PETS AND RELATED PRODUCTS ,2.00%,High,09.3.4 ,D7J8,CJYJ
09.4.1 : RECREATIONAL AND SPORTING SERVICES ,2.60%,High,09.4.1 ,D7NZ,ICVR
09.4.2 : CULTURAL SERVICES ,1.50%,High,09.4.2 ,D7O2,ICVS
09.5.3 :MISC. PRINTED MATTER STATIONERY & DRAWING MATERIALS ,1.40%,High,09.5.3 ,D7O6,ICVW
"12.1.2 : APPLIANCES, ARTICLES & PRODUCTS FOR PERSONAL CARE ",1.60%,High,12.1.2 ,D7JD,CJYO
12.3.2 : OTHER PERSONAL EFFECTS ,1.70%,High,12.3.2 ,D7OA,ICWA
"01.2.2 : MINERAL WATERS, SOFT DRINKS AND JUICES ",1.20%,Low,01.2.2 ,D7HR,CJWL
02.1.1 : SPIRITS ,1.00%,Low,02.1.1 ,D7HS,CJWM
02.1.2 : WINE (INC PERRY) ,1.00%,Low,02.1.2 ,D7HT,CJWN
02.1.3 : BEER ,1.00%,Low,02.1.3 ,D7HU,CJWO
02.2 : TOBACCO ,1.00%,Low,2.2,D7GN,CJWP
"03.1.4 : DRY-CLEANING, REPAIR AND HIRE OF CLOTHING ",1.00%,Low,03.1.4 ,D7HY,CJWT
04.4.3 : SEWERAGE COLLECTION ,1.20%,Low,04.4.3 ,D7I4,CJWY
"05.1.1 : FURNITURE, FURNISHINGS ",1.20%,Low,05.1.1 ,D7IC,CJXF
05.1.2 : CARPETS & OTHER FLOOR COVERINGS ,1.10%,Low,05.1.2 ,D7ID,CJXG
05.2 : HOUSEHOLD TEXTILES ,1.10%,Low,5.2,D7GV,CJVH
05.6.2 : DOMESTIC SERVICES AND HOME CARE SERVICES ,1.10%,Low,05.6.2 ,D7II,CJXL
06.1.1 : PHARMACEUTICAL PRODUCTS ,1.10%,Low,06.1.1 ,D7NP,CJYA 
06.1.2 : OTHER MEDICAL AND THERAPEUTIC EQUIPMENT ,1.30%,Low,06.1.2 ,D7NQ,CJYH
06.2.1 : MEDICAL SERVICES AND PARAMEDICAL SERVICES: ,1.40%,Low,06.2.1 ,D7NS,ICVK
06.2.2 : DENTAL SERVICES: ,1.40%,Low,06.2.2 ,D7NT,ICVL
06.3 : HOSPITAL SERVICES ,1.30%,Low,6.3,D7NU,ICVM
07.1.1A : NEW AND SECOND-HAND CARS,1.30%,Low,07.1.1A ,D7IK,CJXN
08.2 : TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES ,1.10%,Low,8.2,D7IY,CJYB
09.1.3 : INFORMATION PROCESSING EQUIPMENT ,1.00%,Low,09.1.3 ,D7J3,CJYE
09.1.4 : RECORDING MEDIA ,1.20%,Low,09.1.4 ,D7J6,CJYF
09.2.1 : MAJOR DURABLES FOR IN/OUTDOOR RECREATION: ,1.30%,Low,09.2.1 ,D7NV,ICVN
09.3.1 : GAMES TOYS AND HOBBIES ,1.30%,Low,09.3.1 ,D7NX,ICVP
12.4 : SOCIAL PROTECTION ,1.30%,Low,12.4,D7HE,CJVY 
04.1 : ACTUAL RENTS FOR HOUSING ,0.90%,Rents,4.1,D7GQ,CJVC
01.1.6 : FRUIT ,3.20%,Very high,01.1.6 ,D7HM,CJWG
01.1.7 : VEGETABLES INCLUDING POTATOES AND OTHER TUBERS ,2.60%,Very high,01.1.7 ,D7HN ,CJWH
04.3.1 : PRODUCTS FOR THE REGULAR REPAIR OF DWELLING ,3.00%,Very high,04.3.1 ,D7HZ,CJWU
04.4.1 : WATER SUPPLY ,4.40%,Very high,04.4.1 ,D7I5,CJWW
07.3.1 : PASSENGER TRANSPORT BY RAILWAY ,5.10%,Very high,07.3.1 ,D7IR,CJXU
